Age,Gender,Weight (kg),Height (m),BMI,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,Workout_Type,diet_type,Carbs,Proteins,Fats,Calories,pct_carbs,protein_per_kg,lean_mass_kg,cal_balance,Calories_Burned,Burns Calories (per 30 min),Burns_Calories_Bin,cluster
49.66,Male,52.57,1.84,15.527528355387522,14.84197561792194,3.1,4.0,Intermediate,Cardio,Paleo,169.5,68.42,45.57,1497.0,0.5979046879960492,1.3015027582271257,44.76757341765843,172.20000000000005,1324.8,346.31,Medium,0
31.63,Male,126.53,1.83,37.7825554659739,35.0,2.09,2.99,Intermediate,Yoga,Keto,304.8,122.78,81.51,3255.0,0.598715354848848,0.9703627598198056,82.2445,2464.32,790.68,361.2,Very High,1
41.8,Male,59.72,1.74,19.725194873827455,19.446703083030147,2.7,5.01,Advanced,HIIT,Paleo,202.57,80.05,53.22,1741.0,0.6031741305383516,1.3404219691895511,48.106428918814395,-804.4000000000001,2545.4,364.95,Very High,0
37.51,Male,76.59,1.82,23.122207462866804,22.57558193854224,2.8,3.98,Intermediate,Yoga,Balanced,188.66,76.42,50.28,1950.0,0.5982369355657027,0.9977803890847369,59.299361793270506,877.2,1072.8,344.07,Medium,0
39.98,Male,79.99,1.76,25.82321797520661,28.830453231342894,3.5,5.01,Advanced,Strength,Keto,235.62,94.49,62.77,2030.0,0.5997251069028712,1.1812726590823852,56.92852046024881,127.29999999999995,1902.7,348.23,Medium,1
58.24,Female,56.96,1.7,19.709342560553637,23.5650452462822,2.7,1.99,Beginner,HIIT,Low-Carb,205.31,83.24,55.37,1390.0,0.5969702256338684,1.461376404494382,43.53735022771766,494.6,895.4,357.81,High,0
48.18,Female,56.53,1.51,24.79277224683128,28.50765309226645,2.11,3.97,Intermediate,Cardio,Paleo,215.24,85.55,57.33,1489.0,0.6010275885178152,1.513355740314877,40.414623706941775,177.08999999999992,1311.91,330.57,Low,0
27.19,Male,88.2,1.98,22.497704315886136,21.047071801739808,3.5,4.01,Advanced,HIIT,Vegan,296.47,118.19,79.21,2531.0,0.6002996740032802,1.3400226757369613,69.63648267086549,-46.960000000000036,2577.96,336.55,Low,1
40.14,Male,51.72,1.61,19.952933914586627,23.71315012526436,3.32,1.99,Beginner,Yoga,Keto,217.46,86.75,57.22,1325.0,0.6016656060647981,1.6773008507347256,39.455558755213275,758.43,566.57,359.4,High,0
41.1,Female,77.05,1.79,24.047314378452608,25.765634036189088,2.0,4.0,Intermediate,HIIT,Paleo,291.2,115.86,77.53,2334.0,0.6009203656699478,1.5036988968202467,57.19757897511631,484.46000000000004,1849.54,331.76,Low,0
52.36,Female,51.93,1.67,18.620244540858405,22.0592370284323,1.51,1.97,Beginner,HIIT,Paleo,282.27,112.63,74.94,1353.0,0.6007789885918611,2.1688811862122086,40.47463821113511,-465.29999999999995,1818.3,350.88,High,0
36.02,Female,109.87,1.77,35.069743687956844,33.42563807603815,3.42,1.99,Beginner,Yoga,Vegetarian,306.41,122.15,82.17,2728.0,0.5999451765120514,1.1117684536270138,73.14525144585689,1941.8899999999999,786.11,369.34,Very High,1
33.07,Male,102.83,1.75,33.57714285714286,29.93347627236046,2.21,3.0,Intermediate,Yoga,Balanced,288.65,115.2,76.75,2657.0,0.6006034124011652,1.1202956335699699,72.04940634913174,1653.2,1003.8,363.78,Very High,1
37.35,Female,88.65,1.79,27.66767579039356,29.59749049937583,3.47,5.04,Advanced,HIIT,Balanced,428.87,171.53,113.84,2621.0,0.6004564292114696,1.9349125775521714,62.411824672303325,130.88999999999987,2490.11,373.65,Very High,1
21.24,Female,80.78,1.9,22.37673130193906,22.6918319466272,3.5,4.01,Advanced,HIIT,Paleo,162.37,63.98,42.89,2174.0,0.6030678948150349,0.7920277296360485,62.449538153514546,-401.98,2575.98,355.67,High,1
25.76,Female,70.53,1.5,31.346666666666668,30.919318997894145,2.6,1.97,Beginner,Cardio,Paleo,217.65,85.89,58.01,1839.0,0.6019914258055594,1.2177796682262867,48.72260431078526,827.92,1011.08,368.91,Very High,0
40.09,Male,54.73,1.61,21.11415454650669,22.609754391390187,2.71,3.98,Advanced,Yoga,Balanced,274.39,109.75,73.35,1549.0,0.5997726726267241,2.005298739265485,42.355681421592145,340.0,1209.0,333.31,Low,0
32.59,Male,52.75,1.66,19.142836405864422,23.56556909365815,2.49,2.96,Beginner,Strength,Vegetarian,247.09,98.22,66.16,1446.0,0.6005055046540452,1.8619905213270143,40.319162303095325,197.47000000000003,1248.53,350.36,High,0
52.62,Female,84.36,1.76,27.233987603305785,26.90164503779492,3.5,5.01,Advanced,Yoga,Paleo,251.88,100.12,66.98,2285.0,0.6011742803952456,1.1868183973447133,61.665772246116205,976.6199999999999,1308.38,351.92,High,1
58.93,Female,59.66,1.76,19.260072314049587,21.52076364412733,2.7,5.0,Advanced,Cardio,Vegetarian,201.78,80.95,53.99,1789.0,0.5992516037063434,1.356855514582635,46.82071240991363,1.5799999999999272,1787.42,337.04,Low,0
30.75,Female,76.83,1.62,29.27526291723822,28.97544940228808,2.29,3.97,Intermediate,Yoga,Balanced,312.47,125.01,83.31,2268.0,0.599992319360971,1.627098789535338,54.56816222422206,1268.03,999.97,345.11,Medium,0
29.01,Male,58.43,1.61,22.541568612322052,27.545948725226136,2.01,2.99,Intermediate,Strength,Balanced,220.02,87.44,58.56,1771.0,0.6011146931861646,1.4964915283244908,42.33490215985037,475.0,1296.0,350.76,High,0
39.14,Female,71.32,1.88,20.178813942960616,23.967493304534432,2.21,1.99,Beginner,HIIT,Low-Carb,256.52,101.44,67.94,1934.0,0.6023010096266729,1.4223219293325857,54.226383775206045,1268.5,665.5,367.32,Very High,0
39.08,Male,55.58,1.71,19.00755788105742,20.39435029298726,2.7,5.0,Advanced,Cardio,Vegetarian,202.77,81.81,54.86,1656.0,0.5973662502946028,1.471932349766103,44.24482010715768,-383.97,2039.97,340.84,Medium,0
38.16,Female,44.9,1.68,15.908446712018142,20.66838612087244,2.42,2.98,Intermediate,Strength,Vegan,282.8,113.61,75.84,1242.0,0.5988353626257279,2.530289532293987,35.61989463172827,149.3800000000001,1092.62,338.1,Medium,0
26.29,Female,59.21,1.51,25.968159291259155,24.98062256347282,2.71,4.97,Advanced,HIIT,Paleo,180.13,72.39,48.72,1872.0,0.5979617580666577,1.222597534200304,44.41897338016774,-548.4200000000001,2420.42,355.43,High,0
26.92,Male,87.68,1.63,33.00086567051828,29.90042295012659,3.5,4.99,Advanced,Strength,Balanced,410.38,163.87,109.15,2558.0,0.6004975124378109,1.8689552919708028,61.463309157329014,505.7800000000002,2052.22,372.07,Very High,1
45.05,Male,63.63,1.54,26.82998819362456,29.042268221161752,2.71,3.99,Advanced,Cardio,Vegetarian,223.1,89.45,59.04,1918.0,0.600392906160015,1.4057834354864058,45.150404730874776,190.26999999999998,1727.73,368.48,Very High,0
58.04,Female,109.54,1.91,30.026589183410547,30.72971438912612,2.22,3.02,Intermediate,Yoga,Vegan,306.96,122.84,81.67,2956.0,0.6001525016129978,1.1214168340332298,75.87867085815125,1890.4,1065.6,357.61,High,1
56.29,Female,125.88,1.86,36.38570933055844,35.0,2.2,3.04,Intermediate,Cardio,Low-Carb,298.21,120.07,79.45,3424.0,0.5991400960360035,0.953844931680966,81.822,2463.2,960.8,366.43,Very High,1
56.77,Male,85.56,1.69,29.956934281012575,28.59816726529328,3.49,5.0,Advanced,Cardio,Keto,200.87,80.59,53.75,2366.0,0.5992362996330658,0.9419121084618981,61.091408087815076,523.78,1842.22,346.69,Medium,1
33.93,Female,64.38,1.78,20.319404115641962,22.68075382819338,1.79,4.02,Intermediate,Strength,Vegetarian,211.62,84.99,57.28,1731.0,0.5979824239170364,1.320130475302889,49.7781306854091,292.21000000000004,1438.79,364.26,Very High,0
28.33,Female,69.13,1.58,27.691876301874693,28.50902646757633,2.0,2.98,Intermediate,Yoga,Vegan,254.78,101.9,68.03,1995.0,0.5998916908007816,1.4740344278894837,49.421710002964474,921.31,1073.69,335.25,Low,0
31.96,Male,97.49,1.96,25.377446897126198,26.502290685568045,3.4,3.01,Intermediate,Strength,Keto,276.79,109.74,73.73,2502.0,0.6013774822926172,1.1256539132218688,71.65291681063971,1034.42,1467.58,371.13,Very High,1
38.76,Male,85.97,1.82,25.953991063881173,28.148384968178654,3.5,5.03,Advanced,HIIT,Keto,250.06,99.54,66.37,2466.0,0.6011491213308652,1.1578457601488892,61.77083344285681,-341.1100000000001,2807.11,340.61,Medium,1
36.52,Male,56.0,1.57,22.7189744005842,28.373558365381864,2.42,2.02,Beginner,Strength,Low-Carb,208.63,83.47,54.99,1433.0,0.6010832925177907,1.4905357142857143,40.110807315386154,471.83000000000004,961.17,340.72,Medium,0
52.85,Male,47.69,1.76,15.395790289256198,19.119865654275376,1.5,3.99,Intermediate,HIIT,Vegan,295.15,118.76,79.09,1410.0,0.59868154158215,2.4902495282029777,38.571736069476074,10.799999999999955,1399.2,344.91,Medium,0
18.0,Female,64.01,1.63,24.091986902028683,26.843215360604923,2.19,3.01,Beginner,Cardio,Vegan,214.64,85.59,57.27,1758.0,0.6003916083916083,1.3371348226839557,46.8276578476768,1177.2,580.8,359.03,High,0
18.0,Female,62.43,1.59,24.69443455559511,26.635811730396675,2.18,4.01,Intermediate,Cardio,Keto,217.52,86.76,58.54,1857.0,0.5995259357257041,1.3897164824603556,45.801262736713355,676.2,1180.8,341.52,Medium,0
30.47,Male,87.22,1.69,30.538146423444562,29.381819818670085,3.51,4.01,Advanced,Cardio,Low-Carb,293.13,116.49,78.24,2619.0,0.6008486041077358,1.33558816785141,61.59317675415595,808.01,1810.99,343.62,Medium,1
36.85,Male,76.15,1.82,22.98937326409854,26.70870756569342,2.8,3.98,Intermediate,Cardio,Vegan,190.36,76.31,50.8,1891.0,0.5996157117207925,1.0021011162179907,55.81131918872447,459.4100000000001,1431.59,343.73,Medium,0
18.8,Female,127.92,1.92,34.700520833333336,32.137482441866815,3.0,3.99,Intermediate,Cardio,Paleo,233.71,93.24,61.85,3376.0,0.6011059670781893,0.7288930581613507,86.80973246036397,2164.38,1211.62,342.75,Medium,1
24.11,Male,58.82,1.76,18.988894628099175,23.042199944788766,1.69,3.04,Beginner,Yoga,Vegetarian,296.4,119.17,79.57,1760.0,0.5986185725249424,2.0260115606936417,45.26657799247525,1344.58,415.42,339.54,Medium,0
41.04,Female,82.17,1.66,29.819277108433738,30.284776579530742,3.5,4.99,Advanced,Cardio,Vegan,265.42,106.58,71.22,2327.0,0.5988448174721357,1.2970670561032007,57.28499908459958,266.2199999999998,2060.78,346.59,Medium,1
42.15,Female,60.3,1.74,19.916765755053508,20.866060956213715,2.69,5.02,Advanced,Strength,Keto,201.73,80.56,53.87,1844.0,0.6001011423131842,1.3359867330016584,47.71776524340313,-253.51999999999998,2097.52,364.54,Very High,0
28.23,Male,79.51,1.59,31.45049642023654,32.375722484306486,1.51,3.02,Intermediate,HIIT,Paleo,207.92,83.89,56.62,2204.0,0.5967339207301322,1.0550874103886303,53.76806305272791,253.66000000000008,1950.34,359.58,High,0
53.32,Female,55.68,1.55,23.175858480749216,23.802880356141856,1.8,3.98,Intermediate,Yoga,Vegetarian,218.11,86.97,57.62,1686.0,0.6013509787703336,1.5619612068965516,42.42655621770022,871.72,814.28,331.29,Low,0
43.07,Male,66.62,1.85,19.465303140978815,20.625549461389365,3.2,1.98,Beginner,Cardio,Paleo,294.52,116.97,78.33,1625.0,0.6012821036299049,1.7557790453317321,52.879258948822404,586.5999999999999,1038.4,368.93,Very High,0
26.92,Male,103.9,1.68,36.812641723356016,34.33074085871076,3.48,3.03,Intermediate,Cardio,Balanced,303.62,121.46,81.55,2877.0,0.5992933699149281,1.1690086621751683,68.23036024779952,1637.57,1239.43,351.72,High,1
43.35,Male,82.51,1.95,21.698882314266932,26.181430169818924,3.5,5.01,Advanced,Strength,Vegan,278.15,112.06,74.19,2381.0,0.5989448751076658,1.3581384074657616,60.90770196688241,174.80000000000018,2206.2,337.98,Medium,1
40.03,Female,62.99,1.53,26.908454013413646,28.83336054527089,2.7,5.03,Advanced,Yoga,Low-Carb,365.05,146.28,97.25,1952.0,0.5998389694041868,2.3222733767264643,44.827866192533875,444.28,1507.72,357.99,High,0
19.32,Male,73.18,1.79,22.839486907399895,21.10685278795888,1.62,2.98,Beginner,Yoga,Vegetarian,218.96,88.29,58.24,2062.0,0.5990861583080248,1.206477179557256,57.7340051297717,1520.8,541.2,332.18,Low,0
30.0,Male,51.78,1.74,17.10265556876734,24.925648637912527,2.0,3.0,Intermediate,Yoga,Balanced,237.92,94.96,62.69,1524.0,0.6014611825972647,1.8339127076091153,38.873499135288895,739.2,784.8,332.85,Low,0
51.69,Female,70.91,1.72,23.969037317468903,27.330750246929725,2.61,3.0,Intermediate,HIIT,Keto,231.65,92.08,61.08,1946.0,0.6019853953899327,1.298547454519814,51.52976499990213,213.92000000000007,1732.08,335.2,Low,0
32.54,Female,62.21,1.63,23.41450562685837,25.792049793569173,2.69,5.02,Advanced,HIIT,Paleo,217.93,87.58,57.79,1806.0,0.5998623726947426,1.4078122488345926,46.164765823420616,-594.5500000000002,2400.55,330.95,Low,0
21.87,Female,51.25,1.59,20.272141133657687,24.917111505699467,1.8,3.07,Intermediate,Strength,Paleo,201.46,79.89,53.95,1252.0,0.6008350730688935,1.558829268292683,38.479980353329026,-130.4000000000001,1382.4,331.62,Low,0
45.08,Female,51.38,1.65,18.87235996326906,23.58927482645203,2.29,2.0,Beginner,Cardio,Vegan,233.19,93.15,61.59,1430.0,0.6011136029696078,1.8129622421175555,39.259830594168946,163.95000000000005,1266.05,335.22,Low,0
34.09,Male,66.37,1.62,25.289590001524154,26.57930595192323,2.19,2.0,Beginner,Strength,Balanced,208.16,83.98,55.66,1692.0,0.5985048878665901,1.2653307217116168,48.72931463970855,899.28,792.72,347.56,Medium,0
58.17,Male,109.07,1.91,29.89775499575121,27.77303969159638,2.2,3.0,Intermediate,Yoga,Paleo,305.8,122.92,82.09,2768.0,0.5986570349053464,1.1269826716787386,78.77794560837583,1700.62,1067.38,357.3,High,1
45.59,Male,48.5,1.64,18.03242117787032,26.83565657002728,2.48,4.01,Intermediate,Strength,Low-Carb,219.37,87.46,58.36,1372.0,0.6007010049563242,1.8032989690721648,35.48470656353677,19.75,1352.25,348.02,Medium,0
25.05,Female,64.4,1.71,22.023870592660995,21.370673578146025,1.79,3.0,Beginner,HIIT,Paleo,208.82,82.8,55.86,1688.0,0.60095545067342,1.2857142857142856,50.63728621567396,332.79999999999995,1355.2,340.71,Medium,0
37.35,Female,54.63,1.57,22.16317091971277,27.02522771544833,2.42,3.0,Beginner,Strength,Vegan,204.42,82.01,54.55,1576.0,0.5995073024810839,1.5011898224418818,39.86611809905058,277.9200000000001,1298.08,344.03,Medium,0
36.43,Male,69.06,1.65,25.366391184573008,26.6521134151114,2.71,2.99,Beginner,Yoga,Vegan,256.16,101.94,68.39,1920.0,0.6006236957490211,1.476107732406603,50.654050475524066,1109.6799999999998,810.32,341.94,Medium,0
18.16,Male,73.38,1.55,30.543184183142554,32.0880694353723,2.01,3.0,Beginner,Cardio,Balanced,188.06,75.78,50.59,1951.0,0.5980981458512228,1.0327064595257565,49.8337746483238,1221.9299999999998,729.07,367.63,Very High,0
47.62,Male,68.77,1.74,22.714361210199495,21.510634310436764,2.31,2.98,Intermediate,Strength,Vegetarian,308.94,122.86,82.31,1807.0,0.600921981677073,1.7865348262323688,53.977136784712634,209.93000000000006,1597.07,361.66,Very High,0
37.42,Male,102.84,1.89,28.789787519946252,30.99245737603172,3.08,1.96,Beginner,Yoga,Vegetarian,285.22,114.39,76.12,2633.0,0.599541756878902,1.1123103850641773,70.967356834489,2276.92,356.08,365.45,Very High,1
32.14,Female,49.31,1.62,18.78905654625819,19.86285138369088,2.5,3.0,Intermediate,HIIT,Vegan,247.43,99.43,66.25,1346.0,0.5989445910290238,2.0164266882985196,39.51562798270203,-210.29999999999995,1556.3,330.85,Low,0
30.09,Male,61.25,1.55,25.4942767950052,27.795914840801764,1.62,2.99,Intermediate,Strength,Vegan,197.25,79.67,52.71,1620.0,0.5983982040469618,1.300734693877551,44.22500216000891,214.82999999999993,1405.17,362.51,Very High,0
24.35,Male,60.21,1.79,18.79154832870385,19.74443286702576,2.68,3.99,Advanced,Yoga,Low-Carb,222.66,89.14,59.41,1664.0,0.5998222030656502,1.480484969274207,48.32187697076379,125.03999999999996,1538.96,345.56,Medium,0
27.59,Female,86.65,1.76,27.973269628099175,32.37718066224315,3.49,3.02,Intermediate,Cardio,Low-Carb,276.43,109.4,73.46,2403.0,0.6018637462169871,1.2625504904789382,58.59517295616631,1242.37,1160.63,343.48,Medium,1
25.12,Male,76.46,1.96,19.90316534777176,24.04088273843092,2.31,2.99,Beginner,Strength,Keto,240.27,97.05,64.21,2041.0,0.5983861728887008,1.2692911326183627,58.07834105819571,1377.7,663.3,332.71,Low,0
41.88,Male,76.57,1.97,19.729959545466254,25.522052180732533,2.61,2.98,Intermediate,Cardio,Low-Carb,194.99,78.38,51.54,2220.0,0.6001354221168939,1.023638500718297,57.02776464521309,1124.69,1095.31,348.56,Medium,1
34.01,Female,111.91,1.85,32.69831994156318,33.8338844815787,3.57,3.97,Intermediate,Yoga,Paleo,284.57,112.18,75.28,3011.0,0.6028642247314789,1.0024126530247521,74.04649987666527,2168.6,842.4,350.32,High,1
18.05,Female,126.66,1.67,45.41575531571587,35.0,2.19,2.98,Intermediate,HIIT,Paleo,295.7,118.88,78.45,3265.0,0.5997606636512991,0.9385757145112901,82.329,1337.8,1927.2,365.46,Very High,1
31.65,Male,126.44,1.83,37.755680969870696,35.0,2.11,3.0,Intermediate,Strength,Balanced,306.18,123.12,81.64,3287.0,0.5992484440443105,0.9737424865548877,82.186,2108.8199999999997,1178.18,362.61,Very High,1
40.05,Female,70.05,1.55,29.157127991675335,30.96431118443072,1.51,3.01,Beginner,HIIT,Balanced,283.55,111.76,74.73,1909.0,0.6032465322100247,1.5954318344039973,48.359500015306274,868.4000000000001,1040.6,353.5,High,0
42.77,Female,55.56,1.73,18.563934645327276,22.03459272374685,2.7,4.98,Advanced,Strength,Low-Carb,302.12,121.29,80.75,1440.0,0.5992542050142812,2.1830453563714904,43.31758028268625,-524.0899999999999,1964.09,327.6,Low,0
56.81,Female,81.51,1.86,23.560527228581336,24.35505975682122,3.5,5.0,Advanced,HIIT,Paleo,226.58,90.86,60.19,2115.0,0.6000052961893918,1.1147098515519567,61.65819079221503,-475.28999999999996,2590.29,347.91,Medium,1
38.21,Male,70.74,1.52,30.618074792243764,27.665167218433474,1.98,3.99,Intermediate,HIIT,Vegan,320.19,127.97,85.18,1902.0,0.6003487456406795,1.809018942606729,51.16966070968016,331.20000000000005,1570.8,368.97,Very High,0
55.91,Female,88.72,1.68,31.434240362811796,33.54846201915898,3.5,5.0,Advanced,Yoga,Paleo,196.91,78.21,51.68,2334.0,0.6025397796817625,0.8815374211000901,58.955804496602155,952.3399999999999,1381.66,338.84,Medium,1
46.94,Female,40.41,1.76,13.045583677685949,16.372166889573982,2.21,3.03,Beginner,HIIT,Balanced,251.34,99.57,66.64,1328.0,0.6019398874386301,2.4639940608760207,33.79400735992315,360.0,968.0,334.02,Low,0
25.22,Male,104.98,1.88,29.702354006337714,28.96784777827399,2.29,2.98,Intermediate,HIIT,Low-Carb,197.85,79.85,53.1,2867.0,0.5980955259975815,0.7606210706801295,74.56955340236797,1101.15,1765.85,357.67,High,1
45.12,Male,89.7,1.81,27.380116602057324,24.79921393602853,3.5,5.0,Advanced,Strength,Keto,283.6,113.15,75.36,2638.0,0.6007074622439686,1.2614269788182833,67.45510509938241,660.7,1977.3,355.44,High,1
18.85,Female,85.21,1.85,24.897005113221326,27.50205103691949,3.49,4.04,Advanced,Strength,Low-Carb,314.61,125.15,83.93,2440.0,0.600756172544826,1.4687243281305014,61.775502311440896,499.28999999999996,1940.71,363.72,Very High,1
52.28,Male,82.15,1.72,27.76838831800974,26.239898015868665,2.73,4.02,Intermediate,Cardio,Vegetarian,222.12,88.64,59.16,2206.0,0.600454152249135,1.0790018259281802,60.5939237799639,1226.8,979.2,342.13,Medium,1
